Date,Source Gas/Oil Price Name,Argent Gas/Oil Category,Argent Gas/Oil Price Name,Price EUR/mt
02/01/2022,UCO (used cooking oil) cif ARA USD/t_midpoint,Feedstocks,UCO cif ARA,1190.161333
02/01/2022,UCO (used cooking oil) fob China_midpoint,Feedstocks,UCO fob China,1049.105175
02/01/2022,UCO (used cooking oil) RED bulk China fob_midpoint,Feedstocks,UCO bulk fob China,1119.633254
03/01/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1349.731112
03/01/2022,Biodiesel Palm OME RED ARA range barge fob_midpoint,Biodiesel,PME fob ARA,1213.082959
03/01/2022,Biodiesel Rapeseed OME RED ARA range barge fob_midpoint,Biodiesel,RME fob ARA,1862.822886
03/01/2022,Biodiesel SME Argentina waterborne fob upriver_midpoint,Biodiesel,SME fob Argentina,1154.566693
03/01/2022,Biodiesel tallow OME RED ARA range barge fob_midpoint,Biodiesel,TME fob ARA,1651.291545
03/01/2022,Biodiesel UCOME (used cooking oil) RED ARA range barge fob_midpoint,Biodiesel,UCOME fob ARA,1682.14758
03/01/2022,Biodiesel UCOME (used cooking oil) RED bulk China fob_midpoint,Biodiesel,UCOME bulk fob China,1397.337565
03/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff high,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff high,68.02433219
03/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff low,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff low,56.36075112
03/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_high low avg,,,70.545
03/01/2022,D-AAWGJ00,Biodiesel,SME fob ARA,1522.745305
03/01/2022,D-AAYWT00,MGO,MGO 0.1%,576.5670458
03/01/2022,Freight PME Malaysia - ARA 3-5kt_midpoint,Biodiesel,PME fob MY,114.6081284
03/01/2022,Gasoil NWE 7-28 day swaps_settlement,Biodiesel,Gasoil,587.490082
03/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class I) USD/t_midpoint,HVO & SAF,HVO (class I) fob ARA,1992.75324
03/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class II) USD/t_midpoint,HVO & SAF,HVO (class II) fob ARA,2501.366482
03/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class III) USD/t_midpoint,HVO & SAF,HVO (class III) fob ARA,2156.642863
03/01/2022,Palm oil futures Bursa Malaysia month_settlement,Feedstocks,Palm Oil futures,1000.017632
03/01/2022,Palm oil mill effluent (POME) oil RED ARA cif_midpoint,Feedstocks,POME cif ARA,1128.449264
03/01/2022,Palm oil mill effluent (POME) oil RED Malaysia/Indonesia fob_midpoint,,,1120
03/01/2022,Rapeseed oil fob Dutch Mill RSO_midpoint,Feedstocks,RSO fob Dutch Mill,1670
03/01/2022,RED SAF (sustainable aviation fuel) fob ARA range USD/t_midpoint,,,3220
03/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint,,,1287.94
03/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint_calc,Feedstocks,SBO fob Argentina,1197.641717
03/01/2022,Tallow (categories 1 & 2) fca northwest Europe EUR/t_midpoint,Feedstocks,Tallow Cat 1&2,935
03/01/2022,UCO (used cooking oil) cif ARA USD/t_midpoint,Feedstocks,UCO cif ARA,1190.161333
03/01/2022,UCO (used cooking oil) fob China_midpoint,Feedstocks,UCO fob China,1049.105175
03/01/2022,UCO (used cooking oil) RED bulk China fob_midpoint,Feedstocks,UCO bulk fob China,1119.633254
04/01/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1362.073526
04/01/2022,Biodiesel Palm OME RED ARA range barge fob_midpoint,Biodiesel,PME fob ARA,1225.425372
04/01/2022,Biodiesel Rapeseed OME RED ARA range barge fob_midpoint,Biodiesel,RME fob ARA,1869.875694
04/01/2022,Biodiesel SME Argentina waterborne fob upriver_midpoint,Biodiesel,SME fob Argentina,1156.572335
04/01/2022,Biodiesel tallow OME RED ARA range barge fob_midpoint,Biodiesel,TME fob ARA,1653.319228
04/01/2022,Biodiesel UCOME (used cooking oil) RED ARA range barge fob_midpoint,Biodiesel,UCOME fob ARA,1684.175262
04/01/2022,Biodiesel UCOME (used cooking oil) RED bulk China fob_midpoint,Biodiesel,UCOME bulk fob China,1397.337565
04/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff high,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff high,58.30908931
04/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff low,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff low,46.64550824
04/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_high low avg,,,59.525
04/01/2022,D-AAWGJ00,Biodiesel,SME fob ARA,1542.140527
04/01/2022,D-AAYWT00,MGO,MGO 0.1%,592.876664
04/01/2022,Freight PME Malaysia - ARA 3-5kt_midpoint,Biodiesel,PME fob MY,114.6081284
04/01/2022,Gasoil NWE 7-28 day swaps_settlement,Biodiesel,Gasoil,603.1120515
04/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class I) USD/t_midpoint,HVO & SAF,HVO (class I) fob ARA,2009.679979
04/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class II) USD/t_midpoint,HVO & SAF,HVO (class II) fob ARA,2518.29322
04/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class III) USD/t_midpoint,HVO & SAF,HVO (class III) fob ARA,2173.569602
04/01/2022,Palm oil futures Bursa Malaysia month_settlement,Feedstocks,Palm Oil futures,1029.824561
04/01/2022,Palm oil mill effluent (POME) oil RED ARA cif_midpoint,Feedstocks,POME cif ARA,1102.001234
04/01/2022,Palm oil mill effluent (POME) oil RED Malaysia/Indonesia fob_midpoint,,,1120
04/01/2022,Rapeseed oil fob Dutch Mill RSO_midpoint,Feedstocks,RSO fob Dutch Mill,1670
04/01/2022,RED SAF (sustainable aviation fuel) fob ARA range USD/t_midpoint,,,3238.75
04/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint,,,1333.36
04/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint_calc,Feedstocks,SBO fob Argentina,1227.968791
04/01/2022,Tallow (categories 1 & 2) fca northwest Europe EUR/t_midpoint,Feedstocks,Tallow Cat 1&2,925
04/01/2022,UCO (used cooking oil) cif ARA USD/t_midpoint,Feedstocks,UCO cif ARA,1190.161333
04/01/2022,UCO (used cooking oil) fob China_midpoint,Feedstocks,UCO fob China,1049.105175
04/01/2022,UCO (used cooking oil) RED bulk China fob_midpoint,Feedstocks,UCO bulk fob China,1119.633254
05/01/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1369.126333
05/01/2022,Biodiesel Palm OME RED ARA range barge fob_midpoint,Biodiesel,PME fob ARA,1232.47818
05/01/2022,Biodiesel Rapeseed OME RED ARA range barge fob_midpoint,Biodiesel,RME fob ARA,1876.928502
05/01/2022,Biodiesel SME Argentina waterborne fob upriver_midpoint,Biodiesel,SME fob Argentina,1159.16865
05/01/2022,Biodiesel tallow OME RED ARA range barge fob_midpoint,Biodiesel,TME fob ARA,1662.038261
05/01/2022,Biodiesel UCOME (used cooking oil) RED ARA range barge fob_midpoint,Biodiesel,UCOME fob ARA,1692.894296
05/01/2022,Biodiesel UCOME (used cooking oil) RED bulk China fob_midpoint,Biodiesel,UCOME bulk fob China,1397.337565
05/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff high,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff high,48.59384643
05/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff low,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff low,34.98192718
05/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_high low avg,,,47.4
05/01/2022,D-AAWGJ00,Biodiesel,SME fob ARA,1548.752535
05/01/2022,D-AAYWT00,MGO,MGO 0.1%,610.5086838
05/01/2022,Freight PME Malaysia - ARA 3-5kt_midpoint,Biodiesel,PME fob MY,114.6081284
05/01/2022,Gasoil NWE 7-28 day swaps_settlement,Biodiesel,Gasoil,617.3410914
05/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class I) USD/t_midpoint,HVO & SAF,HVO (class I) fob ARA,2025.090364
05/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class II) USD/t_midpoint,HVO & SAF,HVO (class II) fob ARA,2533.703606
05/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class III) USD/t_midpoint,HVO & SAF,HVO (class III) fob ARA,2188.979988
05/01/2022,Palm oil futures Bursa Malaysia month_settlement,Feedstocks,Palm Oil futures,1056.246143
